acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3718,-243,-1346,-529,55,-123,2025-01-30 09:39:05.681806,none
-3755,-220,-1375,-600,-41,-75,2025-01-30 09:39:05.681806,none
-3754,-230,-1371,-628,-29,-104,2025-01-30 09:39:05.697427,none
-3761,-195,-1366,-593,-28,-102,2025-01-30 09:39:05.697427,none
-3764,-227,-1341,-600,-9,-47,2025-01-30 09:39:05.697427,none
-3764,-238,-1336,-584,-33,-99,2025-01-30 09:39:05.697427,none
-3765,-237,-1354,-589,-61,-95,2025-01-30 09:39:05.697427,none
-3747,-233,-1344,-575,-112,-29,2025-01-30 09:39:05.697427,none
-3741,-219,-1332,-631,-198,-15,2025-01-30 09:39:05.841073,none
-3723,-213,-1334,-541,-32,-131,2025-01-30 09:39:05.841073,none
-3749,-224,-1332,-523,-6,-141,2025-01-30 09:39:05.841073,none
-3783,-227,-1336,-589,-31,-131,2025-01-30 09:39:05.841073,none
-3770,-210,-1345,-606,-100,-129,2025-01-30 09:39:05.841073,none
-3722,-204,-1310,-616,-87,-125,2025-01-30 09:39:05.841073,none
-3690,-223,-1332,-640,-4,-102,2025-01-30 09:39:05.862512,none
-3703,-204,-1328,-685,37,-138,2025-01-30 09:39:06.504602,none
-3723,-218,-1340,-670,51,-143,2025-01-30 09:39:07.704514,none
-3749,-210,-1325,-674,78,-144,2025-01-30 09:39:07.704514,none
-3762,-191,-1340,-702,46,-127,2025-01-30 09:39:07.704514,none
-3753,-217,-1315,-709,20,-140,2025-01-30 09:39:07.704514,none
-3725,-220,-1314,-717,130,-137,2025-01-30 09:39:07.704514,none
-3744,-252,-1348,-712,175,-124,2025-01-30 09:39:07.704514,none
-3767,-233,-1325,-702,116,-116,2025-01-30 09:39:07.704514,none
-3743,-266,-1345,-691,56,-110,2025-01-30 09:39:07.704514,none
-3755,-240,-1311,-570,105,-102,2025-01-30 09:39:07.930900,none
-3740,-231,-1331,-538,136,-144,2025-01-30 09:39:07.930900,none
-3768,-230,-1337,-508,108,-163,2025-01-30 09:39:07.959404,none
-3728,-250,-1310,-511,61,-107,2025-01-30 09:39:07.962877,none
-3726,-228,-1359,-552,98,-107,2025-01-30 09:39:07.988502,none
-3745,-246,-1353,-557,93,-143,2025-01-30 09:39:08.003060,none
-3757,-243,-1355,-572,78,-137,2025-01-30 09:39:08.019749,none
-3711,-225,-1344,-564,61,-130,2025-01-30 09:39:08.035761,none
-3718,-208,-1358,-615,56,-121,2025-01-30 09:39:08.053501,none
-3756,-231,-1326,-621,84,-146,2025-01-30 09:39:08.068075,none
-3759,-239,-1337,-647,78,-146,2025-01-30 09:39:08.078321,none
-3740,-206,-1360,-709,52,-140,2025-01-30 09:39:08.112420,none
-3735,-200,-1341,-718,57,-157,2025-01-30 09:39:08.115994,none
-3724,-242,-1365,-717,79,-205,2025-01-30 09:39:08.133382,none
-3752,-240,-1333,-682,126,-248,2025-01-30 09:39:08.150947,none
-3748,-258,-1329,-717,122,-253,2025-01-30 09:39:08.175641,none
-3748,-257,-1353,-760,114,-287,2025-01-30 09:39:08.183724,none
-3725,-274,-1327,-775,129,-262,2025-01-30 09:39:08.200628,none
-3747,-267,-1337,-733,81,-254,2025-01-30 09:39:08.233134,none
-3745,-242,-1304,-733,84,-251,2025-01-30 09:39:08.233134,none
-3720,-272,-1339,-718,56,-273,2025-01-30 09:39:08.250710,none
-3752,-281,-1359,-675,2,-238,2025-01-30 09:39:08.263975,none
-3723,-272,-1321,-634,60,-198,2025-01-30 09:39:08.295299,none
-3716,-263,-1345,-589,40,-194,2025-01-30 09:39:08.299316,none
-3746,-270,-1346,-564,-4,-195,2025-01-30 09:39:08.317650,none
-3741,-301,-1379,-450,-40,-196,2025-01-30 09:39:08.350481,none
-3734,-286,-1340,-412,-74,-174,2025-01-30 09:39:08.350481,none
-3730,-310,-1327,-342,-54,-161,2025-01-30 09:39:08.363276,none
-3720,-289,-1302,-261,-49,-160,2025-01-30 09:39:08.380594,none
-3757,-281,-1336,-232,-9,-150,2025-01-30 09:39:08.411319,none
-3770,-265,-1346,-179,-53,-140,2025-01-30 09:39:08.411319,none
-3726,-284,-1342,-102,-79,-121,2025-01-30 09:39:08.430054,none
-3715,-270,-1295,-109,-64,-120,2025-01-30 09:39:08.446161,none
-3726,-271,-1328,-120,-48,-101,2025-01-30 09:39:08.475407,none
-3737,-278,-1328,-65,-73,-76,2025-01-30 09:39:08.478302,none
-3773,-263,-1359,-13,-54,-117,2025-01-30 09:39:08.496377,none
-3750,-256,-1320,44,-87,-125,2025-01-30 09:39:08.511829,none
-3721,-253,-1339,111,-49,-145,2025-01-30 09:39:08.549817,none
-3707,-285,-1349,145,44,-134,2025-01-30 09:39:08.549817,none
-3764,-279,-1332,153,-17,-111,2025-01-30 09:39:08.562076,none
-3746,-247,-1342,144,-83,-75,2025-01-30 09:39:08.592442,none
-3725,-248,-1360,161,-110,-69,2025-01-30 09:39:08.592442,none
-3703,-234,-1313,232,-24,-80,2025-01-30 09:39:08.611541,none
-3734,-274,-1302,222,-31,-84,2025-01-30 09:39:08.629366,none
-3744,-270,-1283,192,-4,-84,2025-01-30 09:39:08.650561,none
-3749,-252,-1312,170,7,-87,2025-01-30 09:39:08.663246,none
-3735,-259,-1301,153,-20,-30,2025-01-30 09:39:08.676300,none
-3739,-259,-1289,114,7,-43,2025-01-30 09:39:08.692770,none
-3717,-256,-1284,126,10,-50,2025-01-30 09:39:08.711451,none
-3710,-249,-1274,118,26,-104,2025-01-30 09:39:08.776020,none
-3730,-266,-1237,70,49,-79,2025-01-30 09:39:08.776020,none
-3722,-262,-1282,28,59,-79,2025-01-30 09:39:08.776020,none
-3714,-227,-1281,11,87,-86,2025-01-30 09:39:08.776020,none
-3754,-241,-1278,-68,99,-110,2025-01-30 09:39:08.790764,none
-3769,-255,-1263,-82,108,-99,2025-01-30 09:39:08.810622,none
-3769,-274,-1286,-101,61,-120,2025-01-30 09:39:08.830715,none
-3783,-299,-1260,-136,9,-53,2025-01-30 09:39:08.844916,none
-3750,-292,-1245,-169,4,-23,2025-01-30 09:39:08.857025,none
-3714,-277,-1271,-177,6,-51,2025-01-30 09:39:08.871632,none
-3774,-291,-1279,-195,-86,-47,2025-01-30 09:39:08.888461,none
-3749,-286,-1264,-239,-155,-72,2025-01-30 09:39:08.909407,none
-3761,-276,-1316,-231,-87,-95,2025-01-30 09:39:08.945448,none
-3767,-275,-1289,-264,8,-77,2025-01-30 09:39:08.945448,none
-3762,-291,-1299,-291,22,-83,2025-01-30 09:39:08.963492,none
-3790,-289,-1228,-312,-4,-99,2025-01-30 09:39:08.968941,none
-3786,-302,-1276,-324,-42,-107,2025-01-30 09:39:08.987013,none
-3792,-307,-1283,-284,-115,-127,2025-01-30 09:39:08.996919,none
-3748,-312,-1263,-320,-157,-105,2025-01-30 09:39:09.019519,none
-3731,-270,-1269,-349,-99,-107,2025-01-30 09:39:09.035905,none
-3753,-252,-1242,-354,-45,-112,2025-01-30 09:39:09.063474,none
-3744,-283,-1251,-376,36,-157,2025-01-30 09:39:09.084830,none
-3777,-262,-1253,-382,27,-138,2025-01-30 09:39:09.084830,none
-3762,-270,-1268,-388,19,-136,2025-01-30 09:39:09.102227,none
-3732,-275,-1243,-423,111,-103,2025-01-30 09:39:09.125775,none
-3736,-265,-1236,-416,95,-125,2025-01-30 09:39:09.145432,none
-3708,-294,-1243,-417,124,-115,2025-01-30 09:39:09.150683,
-3729,-289,-1255,-380,130,-141,2025-01-30 09:39:09.163295,none
-3755,-297,-1272,-362,157,-123,2025-01-30 09:39:09.194970,none
-3795,-319,-1287,-324,82,-201,2025-01-30 09:39:09.194970,none
-3747,-290,-1269,-335,53,-154,2025-01-30 09:39:09.215386,none
-3723,-290,-1256,-379,130,-82,2025-01-30 09:39:09.223174,none
-3775,-323,-1259,-451,54,-66,2025-01-30 09:39:09.263667,none
-3776,-282,-1283,-449,49,-76,2025-01-30 09:39:09.263667,none
-3788,-298,-1268,-436,40,-75,2025-01-30 09:39:09.278503,none
-3750,-302,-1272,-425,45,-78,2025-01-30 09:39:09.294245,none
-3740,-261,-1248,-532,23,-17,2025-01-30 09:39:09.314373,none
-3748,-288,-1276,-591,29,4,2025-01-30 09:39:09.330818,none
-3736,-288,-1282,-642,50,-32,2025-01-30 09:39:09.345959,none
-3780,-305,-1264,-653,112,-53,2025-01-30 09:39:09.364840,none
-3736,-319,-1304,-720,100,-25,2025-01-30 09:39:09.378347,none
-3724,-276,-1277,-782,82,-4,2025-01-30 09:39:09.396449,none
-3735,-269,-1280,-868,76,-35,2025-01-30 09:39:09.410577,none
-3732,-268,-1273,-908,144,-50,2025-01-30 09:39:09.426844,none
-3712,-249,-1279,-941,256,-38,2025-01-30 09:39:09.443316,none
-3726,-270,-1238,-1031,294,-21,2025-01-30 09:39:09.459501,none
-3761,-308,-1261,-1033,354,-59,2025-01-30 09:39:09.476057,none
-3773,-311,-1273,-1037,359,-69,2025-01-30 09:39:09.492388,none
-3763,-288,-1254,-1037,305,-20,2025-01-30 09:39:09.513031,none
-3729,-328,-1218,-1123,315,-27,2025-01-30 09:39:09.546011,none
-3750,-303,-1230,-1124,430,-68,2025-01-30 09:39:09.575558,none
-3778,-284,-1297,-1054,419,-106,2025-01-30 09:39:09.575558,none
-3771,-291,-1267,-1041,316,-151,2025-01-30 09:39:09.578685,none
-3802,-276,-1222,-1032,349,-176,2025-01-30 09:39:09.584118,none
-3721,-281,-1240,-1083,289,-189,2025-01-30 09:39:09.625818,none
-3722,-286,-1230,-1155,348,-214,2025-01-30 09:39:09.625818,none
-3771,-244,-1280,-1235,396,-182,2025-01-30 09:39:09.642581,none
-3778,-276,-1289,-1315,294,-209,2025-01-30 09:39:09.675662,none
-3729,-271,-1273,-1219,292,-240,2025-01-30 09:39:09.679357,none
-3744,-275,-1256,-1226,389,-262,2025-01-30 09:39:09.683881,none
-3715,-275,-1259,-1301,352,-184,2025-01-30 09:39:09.702561,none
-3749,-276,-1275,-1341,296,-186,2025-01-30 09:39:09.729848,none
-3741,-260,-1298,-1351,345,-167,2025-01-30 09:39:09.736366,none
-3757,-279,-1244,-1351,380,-111,2025-01-30 09:39:09.760902,none
-3746,-278,-1302,-1315,349,-156,2025-01-30 09:39:09.771327,none
-3714,-291,-1302,-1286,391,-204,2025-01-30 09:39:09.792394,none
-3737,-265,-1274,-1259,402,-226,2025-01-30 09:39:09.800415,none
-3761,-223,-1285,-1302,474,-246,2025-01-30 09:39:09.825614,none
-3803,-224,-1284,-1359,429,-309,2025-01-30 09:39:09.848517,none
-3744,-239,-1267,-1420,371,-325,2025-01-30 09:39:09.848517,none
-3773,-202,-1305,-1417,318,-363,2025-01-30 09:39:09.876722,none
-3716,-346,-1341,-1379,413,-375,2025-01-30 09:39:09.876722,none
-3806,-350,-1318,-1256,544,-362,2025-01-30 09:39:09.910373,none
-3845,-405,-1414,-1077,250,-330,2025-01-30 09:39:09.910373,none
-3748,-380,-1332,-1034,-66,-83,2025-01-30 09:39:09.926516,none
-3769,-346,-1415,-869,198,-115,2025-01-30 09:39:09.943644,none
-3893,-426,-1555,-559,325,-479,2025-01-30 09:39:09.960580,none
-3764,-297,-1346,-417,-143,-353,2025-01-30 09:39:09.976776,none
-3743,-361,-1445,-292,429,-369,2025-01-30 09:39:09.993040,none
-3764,-333,-1437,-158,486,-413,2025-01-30 09:39:10.020184,none
-3645,-359,-1408,55,81,-55,2025-01-30 09:39:10.077139,none
-3729,-252,-1373,69,399,140,2025-01-30 09:39:10.077139,none
-3755,-216,-1403,152,359,-23,2025-01-30 09:39:10.077139,none
-3705,-194,-1383,-233,359,149,2025-01-30 09:39:10.094472,none
-3748,-180,-1420,-589,381,58,2025-01-30 09:39:10.094472,none
-3599,-330,-1474,-80,488,-191,2025-01-30 09:39:10.111654,none
-3558,-251,-1334,89,859,30,2025-01-30 09:39:10.127236,none
-3712,-159,-1359,-100,819,273,2025-01-30 09:39:10.153817,none
-3777,-117,-1374,-215,756,210,2025-01-30 09:39:10.170135,none
-3731,-175,-1379,-176,606,148,2025-01-30 09:39:10.176651,none
-3748,-216,-1394,-34,575,54,2025-01-30 09:39:10.193676,none
-3767,-275,-1378,46,660,0,2025-01-30 09:39:10.210337,none
-3764,-222,-1378,120,555,28,2025-01-30 09:39:10.222160,none
-3690,-157,-1390,57,408,111,2025-01-30 09:39:10.226677,none
-3681,-134,-1361,44,461,192,2025-01-30 09:39:10.250712,none
-3676,-161,-1372,154,560,149,2025-01-30 09:39:10.272868,none
-3697,-221,-1355,277,701,121,2025-01-30 09:39:10.292161,none
-3724,-276,-1396,384,790,126,2025-01-30 09:39:10.300540,none
-3782,-329,-1420,508,790,122,2025-01-30 09:39:10.326471,none
-3723,-317,-1471,614,814,124,2025-01-30 09:39:10.326471,none
-3734,-255,-1432,699,759,179,2025-01-30 09:39:10.343963,none
-3718,-233,-1462,791,715,207,2025-01-30 09:39:10.372230,none
-3687,-283,-1494,976,752,191,2025-01-30 09:39:10.393375,none
-3712,-293,-1507,1147,777,184,2025-01-30 09:39:10.397011,none
-3699,-284,-1546,1361,720,154,2025-01-30 09:39:10.476115,none
-3718,-275,-1491,1510,709,130,2025-01-30 09:39:10.476115,none
-3741,-255,-1507,1594,704,108,2025-01-30 09:39:10.484625,none
-3748,-245,-1510,1679,590,37,2025-01-30 09:39:10.484625,none
-3703,-158,-1485,1688,468,48,2025-01-30 09:39:10.489504,none
-3668,-124,-1482,1608,469,77,2025-01-30 09:39:10.492237,none
-3623,-115,-1531,1546,409,62,2025-01-30 09:39:10.509179,none
-3625,-157,-1502,1512,421,70,2025-01-30 09:39:10.555402,none
-3657,-162,-1527,1466,553,56,2025-01-30 09:39:10.555402,none
-3711,-187,-1515,1440,504,70,2025-01-30 09:39:10.555402,none
-3699,-241,-1601,1392,355,66,2025-01-30 09:39:10.576142,none
-3725,-243,-1575,1340,355,-1,2025-01-30 09:39:10.592610,none
-3707,-206,-1573,1350,267,46,2025-01-30 09:39:10.634493,none
-3671,-265,-1510,1347,84,61,2025-01-30 09:39:10.634493,none
-3638,-285,-1486,1483,153,-37,2025-01-30 09:39:10.634493,none
-3599,-333,-1474,1615,410,-148,2025-01-30 09:39:10.659686,none
-3610,-345,-1485,1695,592,-159,2025-01-30 09:39:10.674954,none
-3690,-343,-1509,1669,611,-97,2025-01-30 09:39:10.691173,none
-3766,-346,-1509,1634,484,-37,2025-01-30 09:39:10.699385,none
-3745,-333,-1605,1615,364,-29,2025-01-30 09:39:10.721060,none
-3733,-303,-1612,1628,204,-41,2025-01-30 09:39:10.751684,none
-3685,-397,-1652,1704,137,-44,2025-01-30 09:39:10.785177,none
-3689,-417,-1597,1753,66,-49,2025-01-30 09:39:10.792254,
-3667,-398,-1573,1755,91,-92,2025-01-30 09:39:10.792254,none
-3676,-407,-1546,1735,117,-94,2025-01-30 09:39:10.815457,none
-3639,-382,-1510,1711,145,-134,2025-01-30 09:39:10.824471,none
-3634,-377,-1538,1792,226,-59,2025-01-30 09:39:10.840131,none
-3667,-402,-1548,1834,363,14,2025-01-30 09:39:10.855743,none
-3686,-451,-1510,1947,359,126,2025-01-30 09:39:10.876054,none
-3708,-483,-1527,2063,194,178,2025-01-30 09:39:10.889253,none
-3702,-501,-1496,2170,41,252,2025-01-30 09:39:10.896707,none
-3736,-473,-1500,2197,-26,216,2025-01-30 09:39:10.927823,none
-3697,-415,-1452,2160,-88,220,2025-01-30 09:39:10.927823,none
-3694,-345,-1416,2071,-209,215,2025-01-30 09:39:10.962101,none
-3676,-241,-1377,1873,-157,156,2025-01-30 09:39:10.967941,none
-3655,-229,-1317,1662,-148,43,2025-01-30 09:39:10.995447,none
-3702,-203,-1262,1441,-60,-13,2025-01-30 09:39:11.002157,none
-3673,-261,-1176,1106,104,-88,2025-01-30 09:39:11.018515,none
-3692,-366,-1194,864,243,-254,2025-01-30 09:39:11.035186,none
-3667,-446,-1204,793,457,-431,2025-01-30 09:39:11.050014,none
-3680,-454,-1166,686,613,-545,2025-01-30 09:39:11.067778,none
-3720,-447,-1163,491,601,-646,2025-01-30 09:39:11.085753,none
-3761,-455,-1134,297,647,-641,2025-01-30 09:39:11.112722,none
-3798,-418,-1105,61,439,-611,2025-01-30 09:39:11.117136,none
-3728,-533,-1164,-170,368,-505,2025-01-30 09:39:11.137110,none
-3768,-625,-1278,-211,591,-260,2025-01-30 09:39:11.152442,none
-3906,-722,-1322,-198,539,-23,2025-01-30 09:39:11.169273,none
-3987,-774,-1330,4,161,114,2025-01-30 09:39:11.186082,none
-3903,-790,-1240,342,-141,162,2025-01-30 09:39:11.193906,none
-3906,-811,-1253,885,-287,161,2025-01-30 09:39:11.234613,none
-3904,-770,-1323,1365,-338,113,2025-01-30 09:39:11.242808,none
-3865,-758,-1364,1851,-402,124,2025-01-30 09:39:11.243365,none
-3809,-743,-1352,2278,-514,165,2025-01-30 09:39:11.267152,none
-3755,-704,-1314,2572,-696,259,2025-01-30 09:39:11.310455,none
-3673,-633,-1238,2665,-705,346,2025-01-30 09:39:11.344109,none
-3642,-613,-1180,2733,-733,436,2025-01-30 09:39:11.344109,none
-3606,-610,-1116,2676,-691,512,2025-01-30 09:39:11.361169,none
-3588,-560,-1094,2589,-613,611,2025-01-30 09:39:11.361347,none
-3559,-519,-1113,2430,-520,728,2025-01-30 09:39:11.364453,none
-3588,-468,-1246,2286,-328,802,2025-01-30 09:39:11.395282,none
-3581,-460,-1309,2117,-212,868,2025-01-30 09:39:11.396082,none
-3582,-461,-1335,2010,-173,960,2025-01-30 09:39:11.411733,none
-3608,-479,-1346,1872,-125,1037,2025-01-30 09:39:11.429276,none
-3638,-469,-1358,1771,-84,1085,2025-01-30 09:39:11.445484,none
-3672,-513,-1369,1758,9,1097,2025-01-30 09:39:11.466297,none
-3708,-574,-1390,1770,-26,1067,2025-01-30 09:39:11.476271,none
-3678,-590,-1382,1877,32,1054,2025-01-30 09:39:11.500014,none
-3718,-596,-1415,2013,82,1014,2025-01-30 09:39:11.511243,none
-3707,-594,-1427,2140,135,975,2025-01-30 09:39:11.533957,none
-3750,-622,-1403,2230,207,965,2025-01-30 09:39:11.544273,none
-3776,-596,-1378,2303,213,932,2025-01-30 09:39:11.577690,none
-3748,-588,-1385,2358,344,871,2025-01-30 09:39:11.577690,none
-3748,-564,-1420,2393,515,795,2025-01-30 09:39:11.595186,none
-3768,-528,-1408,2385,623,744,2025-01-30 09:39:11.612325,none
-3724,-514,-1436,2387,616,706,2025-01-30 09:39:11.626391,none
-3744,-481,-1387,2373,582,688,2025-01-30 09:39:11.652537,none
-3747,-425,-1351,2219,598,639,2025-01-30 09:39:11.659439,none
-3777,-373,-1313,2069,566,620,2025-01-30 09:39:11.676436,none
-3768,-305,-1249,1816,537,524,2025-01-30 09:39:11.683553,none
-3783,-276,-1210,1498,432,432,2025-01-30 09:39:11.713062,none
-3807,-273,-1202,1237,410,271,2025-01-30 09:39:11.729107,none
-3797,-308,-1187,1079,439,78,2025-01-30 09:39:11.741664,none
-3728,-333,-1197,818,339,35,2025-01-30 09:39:11.767779,none
-3696,-345,-1174,564,472,41,2025-01-30 09:39:11.778573,none
-3685,-410,-1146,409,531,57,2025-01-30 09:39:11.792804,none
-3685,-476,-1238,294,505,82,2025-01-30 09:39:11.802969,none
-3703,-533,-1248,279,578,93,2025-01-30 09:39:11.834509,none
-3741,-565,-1299,328,592,80,2025-01-30 09:39:11.834599,none
-3731,-528,-1285,372,621,66,2025-01-30 09:39:11.862299,none
-3788,-506,-1342,474,695,94,2025-01-30 09:39:11.862299,none
-3727,-479,-1356,533,622,159,2025-01-30 09:39:11.895243,none
-3729,-492,-1362,558,571,249,2025-01-30 09:39:11.909797,none
-3702,-503,-1384,601,558,261,2025-01-30 09:39:11.917846,none
-3741,-510,-1401,721,562,225,2025-01-30 09:39:11.935805,none
-3736,-476,-1369,819,448,172,2025-01-30 09:39:11.953080,none
-3732,-459,-1307,845,510,101,2025-01-30 09:39:11.967997,none
-3750,-417,-1317,841,648,48,2025-01-30 09:39:11.985954,none
-3822,-391,-1344,751,712,-55,2025-01-30 09:39:12.011456,none
-3787,-418,-1332,639,776,-133,2025-01-30 09:39:12.011456,none
-3762,-461,-1364,526,702,-174,2025-01-30 09:39:12.044167,none
-3733,-550,-1303,487,714,-218,2025-01-30 09:39:12.050942,none
-3754,-568,-1337,432,700,-285,2025-01-30 09:39:12.069853,none
-3757,-542,-1332,385,704,-320,2025-01-30 09:39:12.085167,none
-3800,-499,-1330,311,718,-412,2025-01-30 09:39:12.127092,none
-3760,-479,-1337,301,789,-489,2025-01-30 09:39:12.145352,none
-3735,-474,-1384,234,767,-520,2025-01-30 09:39:12.146499,none
-3680,-533,-1399,244,733,-548,2025-01-30 09:39:12.149065,none
-3669,-564,-1409,281,685,-474,2025-01-30 09:39:12.162191,none
-3708,-584,-1376,326,678,-392,2025-01-30 09:39:12.194320,none
-3657,-558,-1333,233,608,-355,2025-01-30 09:39:12.195867,none
-3615,-502,-1309,167,628,-263,2025-01-30 09:39:12.213029,none
-3567,-432,-1320,8,685,-170,2025-01-30 09:39:12.229744,none
-3573,-418,-1379,-130,734,-142,2025-01-30 09:39:12.253227,none
-3552,-418,-1417,-165,785,-89,2025-01-30 09:39:12.261897,none
-3536,-467,-1418,-175,828,22,2025-01-30 09:39:12.296862,none
-3583,-487,-1462,-104,792,97,2025-01-30 09:39:12.301762,none
-3527,-504,-1483,-76,929,169,2025-01-30 09:39:12.313058,none
-3571,-534,-1449,-17,990,344,2025-01-30 09:39:12.328604,none
-3617,-533,-1439,-24,787,509,2025-01-30 09:39:12.344676,none
-3656,-546,-1516,57,772,651,2025-01-30 09:39:12.374413,none
-3684,-518,-1515,86,741,708,2025-01-30 09:39:12.378246,none
-3693,-567,-1588,213,725,746,2025-01-30 09:39:12.392696,none
-3759,-535,-1600,295,652,723,2025-01-30 09:39:12.427794,
-3769,-494,-1577,368,546,705,2025-01-30 09:39:12.427794,none
-3788,-444,-1590,361,502,658,2025-01-30 09:39:12.443676,none
-3792,-459,-1575,361,400,588,2025-01-30 09:39:12.461104,none
-3812,-445,-1565,333,360,514,2025-01-30 09:39:12.478069,none
-3798,-423,-1531,201,233,482,2025-01-30 09:39:12.498347,none
-3760,-372,-1432,31,96,427,2025-01-30 09:39:12.509769,none
-3724,-342,-1435,-100,-10,357,2025-01-30 09:39:12.560579,none
-3695,-311,-1379,-319,-35,337,2025-01-30 09:39:12.560579,none
-3723,-322,-1349,-509,-81,263,2025-01-30 09:39:12.560579,none
-3741,-326,-1350,-697,-96,227,2025-01-30 09:39:12.575854,none
-3734,-338,-1383,-901,-55,162,2025-01-30 09:39:12.595329,none
-3755,-335,-1378,-1043,8,66,2025-01-30 09:39:12.628577,none
-3779,-369,-1397,-1098,-181,15,2025-01-30 09:39:12.628577,none
-3717,-387,-1367,-1217,-224,-97,2025-01-30 09:39:12.628577,none
-3669,-366,-1375,-1315,-202,-133,2025-01-30 09:39:12.686199,none
-3692,-400,-1375,-1396,-199,-156,2025-01-30 09:39:12.686199,none
-3694,-442,-1422,-1430,-188,-203,2025-01-30 09:39:12.686199,none
-3705,-418,-1425,-1471,-174,-173,2025-01-30 09:39:12.693542,none
-3715,-401,-1413,-1545,-222,-211,2025-01-30 09:39:12.743975,none
-3697,-388,-1408,-1549,-337,-278,2025-01-30 09:39:12.743975,none
-3683,-416,-1384,-1520,-259,-270,2025-01-30 09:39:12.743975,none
-3709,-385,-1350,-1545,-330,-225,2025-01-30 09:39:12.777034,none
-3700,-423,-1360,-1592,-355,-209,2025-01-30 09:39:12.793153,none
-3702,-420,-1391,-1607,-361,-190,2025-01-30 09:39:12.808987,none
-3689,-367,-1395,-1654,-353,-142,2025-01-30 09:39:12.827866,none
-3716,-352,-1358,-1680,-420,-119,2025-01-30 09:39:12.860259,none
-3723,-349,-1370,-1753,-453,-57,2025-01-30 09:39:12.862459,none
-3753,-355,-1384,-1768,-528,-68,2025-01-30 09:39:12.867950,none
-3745,-375,-1365,-1734,-611,-88,2025-01-30 09:39:12.891594,none
-3714,-405,-1397,-1697,-573,-104,2025-01-30 09:39:12.912057,none
-3721,-411,-1385,-1683,-590,-80,2025-01-30 09:39:12.941149,none
-3699,-402,-1366,-1660,-562,-71,2025-01-30 09:39:12.942803,none
-3710,-398,-1419,-1650,-465,-56,2025-01-30 09:39:12.949753,none
-3698,-419,-1413,-1586,-476,-32,2025-01-30 09:39:12.994170,none
-3673,-412,-1445,-1462,-527,-36,2025-01-30 09:39:12.994170,none
-3640,-466,-1427,-1280,-477,-23,2025-01-30 09:39:12.994170,none
-3675,-472,-1456,-1095,-350,15,2025-01-30 09:39:13.044099,none
-3645,-516,-1500,-768,-260,35,2025-01-30 09:39:13.044099,none
-3640,-543,-1508,-417,-156,40,2025-01-30 09:39:13.044099,none
-3628,-555,-1515,-22,-36,83,2025-01-30 09:39:13.061254,none
-3720,-491,-1529,287,13,92,2025-01-30 09:39:13.078513,none
-3705,-448,-1525,457,-32,125,2025-01-30 09:39:13.094905,none
-3721,-418,-1567,557,-79,187,2025-01-30 09:39:13.113160,none
-3714,-397,-1538,625,-59,200,2025-01-30 09:39:13.128391,none
-3711,-371,-1521,625,-35,238,2025-01-30 09:39:13.150964,none
-3690,-377,-1525,735,-51,255,2025-01-30 09:39:13.167991,none
-3666,-374,-1449,759,-42,299,2025-01-30 09:39:13.178737,none
-3688,-329,-1416,747,30,285,2025-01-30 09:39:13.197329,none
-3722,-333,-1404,640,58,277,2025-01-30 09:39:13.211891,none
-3739,-325,-1423,521,-48,249,2025-01-30 09:39:13.248325,none
-3743,-306,-1425,386,-80,263,2025-01-30 09:39:13.252697,none
-3720,-310,-1397,287,-106,212,2025-01-30 09:39:13.267851,none
-3684,-353,-1315,258,-169,189,2025-01-30 09:39:13.267851,none
-3681,-310,-1257,183,-48,129,2025-01-30 09:39:13.294790,none
-3710,-277,-1269,50,137,46,2025-01-30 09:39:13.309919,none
-3754,-330,-1230,-184,196,8,2025-01-30 09:39:13.343166,none
-3741,-291,-1218,-403,119,-17,2025-01-30 09:39:13.345786,none
-3726,-293,-1206,-580,166,-97,2025-01-30 09:39:13.361781,none
-3747,-283,-1199,-762,261,-189,2025-01-30 09:39:13.368130,none
-3764,-311,-1171,-989,275,-281,2025-01-30 09:39:13.393022,none
-3757,-301,-1166,-1200,287,-310,2025-01-30 09:39:13.409560,none
-3793,-275,-1188,-1471,315,-349,2025-01-30 09:39:13.425293,none
-3814,-277,-1181,-1757,254,-425,2025-01-30 09:39:13.451358,none
-3786,-330,-1220,-2012,129,-498,2025-01-30 09:39:13.471424,none
-3776,-377,-1236,-2112,48,-537,2025-01-30 09:39:13.476223,none
-3786,-365,-1189,-2247,-96,-615,2025-01-30 09:39:13.486696,none
-3772,-370,-1184,-2407,-47,-654,2025-01-30 09:39:13.511657,none
-3778,-338,-1215,-2574,-155,-692,2025-01-30 09:39:13.526511,none
-3734,-340,-1210,-2717,-236,-688,2025-01-30 09:39:13.543211,none
-3732,-375,-1208,-2799,-195,-678,2025-01-30 09:39:13.574841,none
-3748,-394,-1239,-2793,-133,-666,2025-01-30 09:39:13.577133,none
-3751,-418,-1289,-2725,-153,-631,2025-01-30 09:39:13.590649,none
-3734,-421,-1302,-2664,-140,-589,2025-01-30 09:39:13.612118,none
-3728,-425,-1367,-2493,-188,-523,2025-01-30 09:39:13.628700,none
-3759,-418,-1373,-2364,-225,-454,2025-01-30 09:39:13.665820,none
-3741,-445,-1412,-2194,-253,-434,2025-01-30 09:39:13.665820,none
-3732,-438,-1407,-1979,-247,-363,2025-01-30 09:39:13.672455,none
